Time,Latitude,Longitude,Intensity
19540728  0000,16.9,-121.0,75
19540728  0600,16.9,-121.5,75
19540728  1200,17.0,-121.9,75
19540728  1800,17.1,-122.3,75
19540729  0000,17.3,-122.7,75
19540729  0600,17.5,-123.2,75
19540729  1200,17.7,-123.6,75
19540729  1800,18.0,-124.1,75
19540730  0000,18.2,-124.5,75
19540730  0600,18.4,-124.8,75
19540730  1200,18.5,-125.1,75
19540730  1800,18.7,-125.8,75
19540731  0000,18.8,-126.6,75
19540731  0600,18.7,-127.3,75
19540731  1200,18.6,-127.9,75
19540731  1800,18.4,-128.9,75
19540801  0000,18.2,-129.9,75
19540801  0600,17.9,-131.0,75
19540801  1200,17.5,-132.1,75
19540902  0000,17.1,-116.1,45
19540902  0600,17.4,-118.1,45
19540902  1200,17.6,-120.1,45
19540902  1800,17.6,-121.8,45
19540903  0000,17.5,-123.4,45
19540903  0600,17.3,-124.7,45
19540903  1200,17.1,-125.9,45
19540903  1800,17.0,-127.4,45
19540904  0000,16.9,-128.9,45
19540904  0600,16.7,-130.0,45
19540904  1200,16.5,-131.1,45
19540904  1800,16.6,-132.2,45
19540905  0000,17.0,-133.2,45
19540905  0600,17.7,-134.0,45
19540905  1200,18.4,-134.7,45
19540905  1800,18.9,-135.2,45
19540906  0000,19.5,-135.7,45
19540906  0600,20.0,-135.9,45
19540906  1200,20.6,-136.0,45
19540906  1800,21.3,-136.5,45
19540907  0000,21.9,-137.1,45
19540907  0600,22.5,-137.8,45
19540907  1200,23.1,-138.6,45
19540907  1800,23.3,-139.4,45
19540908  0000,23.3,-140.3,45
19540908  0600,23.1,-141.4,45
19540908  1200,22.6,-142.7,45
19540908  1800,21.9,-144.2,45
19540909  0000,21.1,-145.7,45
19540905  0000,19.7,-106.9,45
19540905  0600,19.7,-107.0,45
19540905  1200,19.7,-107.2,45
19540905  1800,19.8,-108.2,45
19540906  0000,20.0,-109.2,45
19540906  0600,20.1,-110.0,45
19540906  1200,20.3,-110.8,45
19540906  1800,21.0,-112.5,45
19540907  0000,22.2,-114.0,45
19540907  0600,23.9,-114.6,45
19540907  1200,25.4,-115.3,45
19540907  1800,25.8,-116.2,45
19540908  0000,26.1,-117.1,45
19540908  0600,26.3,-117.9,45
19540908  1200,26.4,-118.7,45
19540915  1200,19.6,-107.5,45
19540915  1800,20.2,-108.6,45
19540916  0000,20.6,-109.5,45
19540916  0600,20.6,-110.1,45
19540916  1200,20.8,-110.7,45
19540916  1800,21.1,-110.9,45
19540917  0000,21.5,-111.1,45
19540917  0600,22.1,-111.5,45
19540917  1200,22.6,-112.1,45
19540917  1800,22.5,-112.6,45
19540918  0000,22.1,-113.2,45
19540918  0600,21.9,-114.1,45
19540918  1200,21.7,-115.2,45
19540918  1800,21.4,-116.0,45
19540919  0000,21.1,-116.8,45
19540919  0600,21.1,-117.7,45
19540919  1200,21.1,-118.7,45
19540919  1800,21.1,-119.9,45
19540920  0000,21.0,-121.0,45
19540920  0600,20.9,-121.7,45
19540920  1200,20.8,-122.4,45
19540920  1800,21.0,-123.0,45
19540921  0000,21.3,-123.7,45
19540921  0600,21.1,-124.5,45
19540921  1200,20.5,-125.0,45
19540921  0000,17.2,-103.7,45
19540921  0600,17.8,-104.3,45
19540921  1200,18.1,-104.9,45
19540921  1800,18.2,-105.5,45
19540922  0000,18.3,-106.2,45
19540922  0600,18.4,-107.6,45
19540922  1200,18.5,-109.0,45
19540922  1800,19.3,-109.6,45
19540923  0000,20.3,-110.2,45
19540923  0600,20.7,-110.9,45
19540923  1200,21.0,-111.7,45
19540923  1800,21.2,-112.3,45
19540924  0000,21.2,-113.0,45
19540924  0600,21.1,-114.0,45
19540924  1200,20.9,-114.9,45
19540924  1800,20.6,-115.5,45
19540925  0000,20.4,-116.2,45
19540925  0600,20.4,-117.1,45
19540925  1200,20.5,-118.1,45
19540925  1800,20.5,-118.9,45
19540926  0000,20.4,-119.6,45
19540926  0600,20.4,-120.3,45
19540926  1200,20.3,-120.9,45
19540926  1800,20.0,-121.7,45
19540927  0000,19.5,-122.4,45
19540927  0600,19.2,-123.1,45
19540927  1200,18.9,-123.8,45
19540927  0000,14.0,-96.0,75
19540927  0600,13.6,-96.6,75
19540927  1200,13.3,-97.2,75
19540927  1800,13.1,-97.9,75
19540928  0000,12.9,-98.6,75
19540928  0600,12.8,-99.2,75
19540928  1200,12.7,-99.8,75
19540928  1800,12.7,-100.4,75
19540929  0000,12.9,-101.0,75
19540929  0600,13.3,-101.4,75
19540929  1200,13.7,-101.7,75
19540929  1800,13.9,-102.0,75
19540930  0000,14.2,-102.2,75
19540930  0600,15.0,-102.6,75
19540930  1200,15.8,-103.1,75
19540930  1800,16.6,-104.1,75
19541001  0000,17.1,-105.4,75
19541012  0600,12.9,-95.1,45
19541012  1200,13.1,-93.9,45
19541012  1800,13.6,-93.3,45
19541013  0000,14.0,-92.9,45
19541013  0600,14.4,-92.7,45
19541013  1200,14.7,-92.6,45
19541013  1800,15.1,-92.8,45
19541014  0000,15.6,-93.0,45
19541014  0600,16.2,-93.0,45
19541014  1200,16.8,-93.0,45
19541026  1200,12.6,-91.1,75
19541026  1800,12.6,-92.0,75
19541027  0000,12.6,-92.9,75
19541027  0600,12.5,-94.2,75
19541027  1200,12.4,-95.6,75
19541027  1800,12.8,-96.7,75
19541028  0000,13.3,-97.8,75
19541028  0600,13.4,-99.0,75
19541028  1200,13.5,-100.2,75
19541028  1800,13.7,-102.1,75
19541029  0000,14.0,-103.9,75
19541029  0600,14.1,-104.5,75
19541029  1200,14.2,-105.1,75
19541029  1800,14.5,-106.1,75
19541030  0000,14.9,-107.1,75
19541030  0600,15.3,-108.6,75
19541030  1200,15.7,-110.1,75
19541030  1800,16.1,-111.6,75
19541031  0000,16.3,-113.0,75
19541031  0600,16.4,-114.3,75
19541031  1200,16.6,-115.2,75
19541031  1800,16.7,-115.9,75
19541101  0000,16.9,-116.6,75
19541101  0600,17.4,-117.3,75
19541101  1200,18.1,-117.8,75
19550606  0000,14.1,-109.1,75
19550606  0600,14.3,-109.4,75
19550606  1200,14.7,-109.6,75
19550606  1800,15.2,-109.5,75
19550607  0000,15.6,-109.4,75
19550607  0600,16.2,-109.4,75
19550607  1200,16.7,-109.4,75
19550607  1800,17.0,-109.5,75
19550608  0000,17.3,-109.8,75
19550608  0600,17.6,-110.4,75
19550608  1200,17.8,-111.0,75
19550608  0000,11.4,-109.1,45
19550608  0600,11.7,-109.8,45
19550608  1200,12.2,-110.4,45
19550608  1800,12.6,-110.5,45
19550609  0000,13.1,-110.5,45
19550609  0600,13.5,-110.3,45
19550609  1200,13.8,-110.1,45
19550609  1800,14.3,-109.6,45
19550610  0000,14.8,-109.0,45
19550610  0600,15.3,-108.7,45
19550610  1200,15.8,-108.5,45
19550610  1800,16.5,-108.6,45
19550611  0000,17.2,-108.9,45
19550706  1200,15.8,-99.0,45
19550706  1800,15.7,-100.1,45
19550707  0000,15.4,-101.1,45
19550707  0600,15.0,-102.0,45
19550707  1200,14.5,-102.9,45
19550707  1800,14.2,-103.6,45
19550708  0000,14.1,-104.4,45
19550708  0600,14.3,-105.7,45
19550708  1200,14.6,-107.0,45
19550708  1800,14.8,-107.9,45
